origin,airport_name,state,region,delayed_time,pct_greater,total_flights
BLV,Scott AFB/MidAmerica,Illinois,Midwest,61.74818401937046,0.24213075060532688,1017
BMI,Central Il Regional Airport at Bloomington,Illinois,Midwest,60.53611111111111,0.29305555555555557,3078
BNA,Nashville International,Tennessee,South,35.80725871206038,0.16094427493174884,82654
BOI,Boise Air Terminal,Idaho,West,42.09646739130435,0.1872735507246377,19075
BOS,Logan International,Massachusetts,Northeast,49.003360021504136,0.25177121133575253,149427
BPT,Jack Brooks Regional,Texas,South,60.448412698412696,0.2976190476190476,1001
BQK,Brunswick Golden Isles,Georgia,South,58.764976958525345,0.2903225806451613,1037
BRD,Brainerd Lakes Regional,Minnesota,Midwest,72.20560747663552,0.3364485981308411,636
BRO,Brownsville South Padre Island International,Texas,South,70.12576064908723,0.3286004056795132,2707
BRW,Wiley Post/Will Rogers Memorial,Alaska,West,18.174603174603174,0.05555555555555555,728
BTM,Bert Mooney,Montana,West,76.9381443298969,0.28865979381443296,677
BTR,Baton Rouge Metropolitan/Ryan Field,Louisiana,South,53.207486631016046,0.25614973262032087,7696
BTV,Burlington International,Vermont,Northeast,68.53221787112851,0.31434674261302953,9637
BUF,Buffalo Niagara International,New York,Northeast,48.39598821714125,0.2386028896058353,24854
BUR,Bob Hope,California,West,30.968054211035817,0.1425679838070932,31905
BWI,Baltimore/Washington International Thurgood Marshall,Maryland,South,30.79571038124797,0.13538240607773197,103711
BZN,Bozeman Yellowstone International,Montana,West,60.87522824102252,0.2860620815581254,6819
CAE,Columbia Metropolitan,South Carolina,South,40.548449612403104,0.20445736434108527,7454
CAK,Akron-Canton Regional,Ohio,Midwest,65.45438996579247,0.3010262257696693,6318
CDC,Cedar City Regional,Utah,West,48.16551724137931,0.23448275862068965,762
CDV,Merle K Mudhole Smith,Alaska,West,28.129213483146067,0.12359550561797752,722
CGI,Cape Girardeau Regional,Missouri,Midwest,91.15354330708661,0.41732283464566927,956
CHA,Lovell Field,Tennessee,South,54.77424819991529,0.25709445150360016,8936
